animeTitle	Tsuyoshi Shikkari Shinasai
animeType	TV
animeNumEpisode	112
releaseDate	
endDate	
animeNumMembers	
animeScore	6.83
animeUsers	556
animeRank	
animePopularity	9409
animeDescription	Tsuyoshi Ikawa lives at home with his popular and beautiful sisters. Despite their qualities, his sisters and his mother are horrible at household chores, including cooking, so all these duties are taken over by Tsuyoshi while his father is away due to being temporarily transferred to another city for work.
animeRelated	['Tsuyoshi Shikkari Shinasai', 'Tsuyoshi Motto Shikkari Shinasai', 'Tsuyoshi Shikkari Shinasai: Tsuyoshi no Time Machine de Shikkari Shinasai']
animeCharacters	['Ikawa, Tsuyoshi']
animeVoices	['Onosaka, Masaya']
animeStaff	[['Misawa, Shin', 'Director'], ['Ishiodori, Hiroshi', 'Episode Director, Storyboard'], ['Kuzuya, Naoyuki', 'Episode Director, Storyboard'], ['Matsumoto, Yoshihisa', 'Episode Director, Storyboard']]
