animeTitle	Pokemon: Pikachu no Natsumatsuri
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.29
animeUsers	2528
animeRank	
animePopularity	6286
animeDescription	"Summer has arrived, and many Pokemon have set up shops for a summer festival on the beach. Soon the gang will be blessed by a special performance from the pop idol Azumarill, but upon her arrival, she's kidnapped by the flying Pokemon Skarmory! Pikachu, along with Plusle, Minun, Meowth, Wobbuffet and a number of other Pokemon must now track down the singing beauty; the show must go on!

(Source: Anime-Planet)"
animeRelated	['Pokemon Advanced Generation']
animeCharacters	['Pikachu', 'Nyarth', 'Soonansu', 'Narrator']
animeVoices	['Ootani, Ikue', 'Inuyama, Inuko', 'Ueda, Yuuji', 'Horiuchi, Kenyuu']
animeStaff	[['Yuyama, Kunihiko', 'Director'], ['Tajiri, Satoshi', 'Original Creator'], ['Sugimori, Ken', 'Original Character Design']]
