animeTitle	ARP Backstage Pass
animeType	TV
animeNumEpisode	10
releaseDate	2020-01-13 00:00:00
endDate	2020-03-30 00:00:00
animeNumMembers	5858
animeScore	5.56
animeUsers	1256
animeRank	10169
animePopularity	6577
animeDescription	"ARP: A 4-member dance and vocal group created by the latest AR technology. This popular group got their start with Avex, and are unique for their interactive concerts which combine highly-skilled song and dance routines with a format that changes based on how much the fans are cheering them on.

(Source: Crunchyroll)"
animeRelated	['ARP Backstage Pass: Celebrate Good Time - Short Stories', 'ARP Backstage Pass Special']
animeCharacters	['Hida, Reiji', 'Fujiwara, Leon', 'Koumoto, Daiya', 'Kanou, Shinji', 'Secretary', 'Matsumoto, Haruomi', 'Chairman', 'Kanou, Eiji']
animeVoices	['Eguchi, Takuya', 'Komada, Wataru', 'Inoue, Kazuhiko', 'Namikawa, Daisuke']
animeStaff	[['Endou, Tetsuya', 'Director'], ['Kuwa, Yoshihito', 'Director of Photography'], ['Tomonaga, Korie', 'Series Composition']]
