animeTitle	Youkai Watch Movie 2: Enma Daiou to Itsutsu no Monogatari da Nyan!
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.82
animeUsers	736
animeRank	
animePopularity	9497
animeDescription	Second Youkai Watch movie.
animeRelated	['Youkai Watch', 'Youkai Watch Movie 1: Tanjou no Himitsu da Nyan!', 'Youkai Watch Movie 3: Soratobu Kujira to Double Sekai no Daibouken da Nyan!']
animeCharacters	['Jibanyan', 'Komasan', 'Whisper', 'Amano, Keita', 'Misora, Inaho', 'USApyon', 'Fuyunyan', 'Komajirou', 'Giant Santa', 'Demon Okure']
animeVoices	['Kozakura, Etsuko', 'Endou, Aya', 'Seki, Tomokazu', 'Tomatsu, Haruka', 'Yuuki, Aoi', 'Shigemoto, Kotori', 'Kaji, Yuki', 'Takeda, Tetsuya', 'Yoshino, Hiroyuki']
animeStaff	[['Hino, Akihiro', 'Producer, Script, Original Creator, Planning'], ['Takahashi, Shigeharu', 'Director'], ['Ushiro, Shinji', 'Director'], ['King Cream Soda.', 'Theme Song Performance']]
