animeTitle	Tenkuu no Shiro Laputa
animeType	Movie
animeNumEpisode	1
releaseDate	1986-08-02 00:00:00
endDate	
animeNumMembers	
animeScore	8.28
animeUsers	244704
animeRank	
animePopularity	422
animeDescription	"In a world filled with planes and airships, Sheeta is a young girl who has been kidnapped by government agents who seek her mysterious crystal amulet. While trapped aboard an airship, she finds herself without hope—that is, until the ship is raided by pirates. Taking advantage of the ensuing confusion, Sheeta manages to flee from her captors. Upon her escape, she meets Pazu, a boy who dreams of reaching the fabled flying castle, Laputa. The two decide to embark on a journey together to discover this castle in the sky. However, they soon find the government agents back on their trail, as they too are trying to reach Laputa for their own greedy purposes.

Tenkuu no Shiro Laputa follows the soaring adventures of Sheeta and Pazu, all while they learn how dreams and dire circumstances can bring two people closer together.

[Written by MAL Rewrite]"
animeRelated	['Tenkuu no Shiro Laputa']
animeCharacters	['Pazu', 'Sheeta', 'Dola', 'Muska', 'Uncle Pom', 'Lui', 'Shalulu', 'Shogun Mouro', 'Duffi', 'Anli']
animeVoices	['Tanaka, Mayumi', 'Yokozawa, Keiko', 'Hatsui, Kotoe', 'Terada, Minori', 'Tokita, Fujio', 'Yasuhara, Yoshito', 'Kamiyama, Takuzou', 'Nagai, Ichiro', 'Ito, Hiroshi', 'Kameyama, Sukekiyo']
animeStaff	[['Takahata, Isao', 'Producer'], ['Miyazaki, Hayao', 'Director, Theme Song Lyrics, Character Design, Screenplay'], ['Shiba, Shigeharu', 'Sound Director'], ['Hisaishi, Joe', 'Music']]
