animeTitle	Kiratto Pri☆chan Season 2
animeType	TV
animeNumEpisode	51
releaseDate	2019-04-07 00:00:00
endDate	2020-03-29 00:00:00
animeNumMembers	2076
animeScore	7.16
animeUsers	406
animeRank	3059
animePopularity	9357
animeDescription	Second Season of Kiratto Pri☆chan, adding one more idol.
animeRelated	['Kiratto Pri☆chan', 'Kiratto Pri☆chan Season 3']
animeCharacters	['Dia', 'Momoyama, Mirai', 'Akagi, Anna', 'Moegi, Emo', 'Midorikawa, Sara', 'Shidou, Mel', 'Kanamori, Maria', 'Aoba, Rinka', 'Kurokawa, Suzu', 'Shiratori, Anju']
animeVoices	['Sasaki, Rico', 'Hayashi, Koko', 'Serizawa, Yuu', 'Kubota, Miyu', 'Wakai, Yuuki', 'Morishima, Yuuka', 'Akaneya, Himika', 'Atsugi, Nanami', 'Tokui, Sora', 'Mimori, Suzuko']
animeStaff	[['Ikehata, Hiroshi', 'Director'], ['Nagasaki, Yukio', 'Sound Director'], ['Run Girls, Run!', 'Theme Song Performance'], ['Hayashi, Koko', 'Theme Song Performance']]
