animeTitle	Sol Bianca: Taiyou no Fune
animeType	OVA
animeNumEpisode	6
releaseDate	1999-09-24 00:00:00
endDate	2000-10-06 00:00:00
animeNumMembers	
animeScore	6.37
animeUsers	1869
animeRank	
animePopularity	7379
animeDescription	"Thousands of years into the future, mankind has colonized other planets across the galaxy and completely forgotten about Earth. On one part of the galaxy, the female space pirates and their colossal starship Sol Bianca get a surprise when a young girl named Mayo stows away on board the ship. The crew then embarks on a journey to Earth to find the whereabouts of Mayo's parents and discover the secrets of the lost planet. 

(Source: ANN)"
animeRelated	['Sol Bianca']
animeCharacters	['Fall, Feb', 'Mann, Janny', 'Bikirk, April', 'Ashel, June', 'Jessica, May', 'Gyunter']
animeVoices	['Sakakibara, Yoshiko', 'Saeki, Tomo', 'Matsumoto, Rica', 'Miyajima, Eri', 'Konishi, Hiroko', 'Jo, Haruhiko']
animeStaff	[['Maseba, Yutaka', 'Producer'], ['Akiyama, Katsuhito', 'Director'], ['Tanaka, Kazuya', 'Sound Director'], ['Sushio', 'Key Animation']]
