animeTitle	Puu-Neko
animeType	TV
animeNumEpisode	11
releaseDate	2011-04-13 00:00:00
endDate	2011-06-22 00:00:00
animeNumMembers	909
animeScore	
animeUsers	
animeRank	12873
animePopularity	11377
animeDescription	"Based on a four-panel manga, Puu-Neko is about ""jobless (puu)"" cats and Momoyama Momoko, who can talk with them. According to the author, 98% of cats are jobless."
animeRelated	['Puu-Neko', 'Puu-Neko Shougekijou']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
