animeTitle	Wakusei Daikaiju Negadon
animeType	Movie
animeNumEpisode	1
releaseDate	2005-10-16 00:00:00
endDate	
animeNumMembers	1311
animeScore	5.47
animeUsers	678
animeRank	10462
animePopularity	10467
animeDescription	"A world of the future, madly over populated, searches for a new home on Mars to help support humanity. After terraforming Mars into a habitable landscape a Japanese ship returning from the planet crash-lands on a Tokyo street, unleashing a terrible monster. The only man who can stop Negadon is Dr. Narasaki, and his robot Miroku...

(Source: ANN)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
