animeTitle	Hataraku Saibou
animeType	ONA
animeNumEpisode	1
releaseDate	2017-07-02 00:00:00
endDate	
animeNumMembers	18621
animeScore	6.84
animeUsers	6575
animeRank	4446
animePopularity	4134
animeDescription	"A special animated commercial to celebrate the release of the manga's fifth volume. The full length version of the commercial was released on Kodansha's official YouTube channel the day after the short version was released on TV.

It features the anthropomorphized cells of a human body, with the protagonist being a red blood cell named AE-3803. "
animeRelated	['Hataraku Saibou', 'Hataraku Saibou (TV)']
animeCharacters	['Sekkekkyuu AA5100']
animeVoices	[]
animeStaff	[]
