animeTitle	Tide-Line Blue: Kyoudai
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.63
animeUsers	813
animeRank	
animePopularity	9757
animeDescription	DVD only 13th episode of the series.
animeRelated	['Tide-Line Blue']
animeCharacters	['Aoi', 'Keel', 'Gould, Teen', 'Josie']
animeVoices	['Sakakibara, Yoshiko', 'Sakaguchi, Daisuke', 'Namikawa, Daisuke', 'Hikami, Kyouko']
animeStaff	[['Takiguchi, Teiichi', 'Animation Director, Character Design']]
