animeTitle	Hikaru no Go Recaps
animeType	Special
animeNumEpisode	2
releaseDate	2003-01-29 00:00:00
endDate	2003-10-29 00:00:00
animeNumMembers	
animeScore	6.25
animeUsers	181
animeRank	
animePopularity	11602
animeDescription	Hikaru no Go recaps included on DVD 10 (Season 2 vol 1) which recaps episode 1-24 and DVD 19 (Season 3 vol 1) which recaps episode 25-52 of the TV series.
animeRelated	['Hikaru no Go', 'Hikaru no Go: Memories']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
