animeTitle	b'Ashiaraiyashiki no Juunin-tachi.'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	4.98
animeUsers	798
animeRank	
animePopularity	
animeDescription	"b'More than twenty years ago, an evil summoner committed ""Great Summon"". One third of human beings were killed, and devils and monsters invaded the Earth. One day, a painter, Tamura Fukutaro, moves into an apartment house called ""Ashiaraiyashiki"" and gets involved in the troubles of his non-human neighbors. It\'s the beginning of a severe battle among gods, devils and the ruler ""The Central"".'"
animeRelated	[b'Ashiaraiyashiki no Juunin-tachi.']
animeCharacters	[b'Ryuuzouji, Koma']
animeVoices	[b'\nFukuhara, Kaori\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nIbata, Yoshihide\n\nDirector\n\n', b'\nMinagi, Tokuichi\n\nOriginal Creator\n\n', b'\nYanagi, Keisuke\n\nEditing\n\n', b'\nArai, Yutaka\n\nKey Animation\n\n']
