animeTitle	Koi-ken!: Watashitachi Anime ni Nacchatta!
animeType	ONA
animeNumEpisode	12
releaseDate	2012-03-01 00:00:00
endDate	2012-05-24 00:00:00
animeNumMembers	4932
animeScore	5.75
animeUsers	1398
animeRank	9583
animePopularity	7035
animeDescription	"Koi-Ken Love Research club member Kaede Wakamiya comments that being an idol must be extremely easy—a comment that irritates idol Nagisa Toyama. At the suggestion of her manager, all female members of the KoiKen club are invited to become an idol unit with Nagisa. Kaede then realizes that maybe being an idol isn't so easy after all...

(Source: ANN)"
animeRelated	['Koi-Ken!']
animeCharacters	['Akagi, Sakura', 'Toyama, Nagisa', 'Kikui, Mari', 'Kikui, Haruka', 'Otowa, Wakaba', 'Yamabuki, Hotaru', 'Wakamiya, Kaede', 'Hatsukari, Satsuki', 'Edgware, Zenobia L.', 'Tsurumaki, Shuuzou']
animeVoices	['Shintani, Ryouko', 'Nazuka, Kaori', 'Kugimiya, Rie', 'Inoue, Kikuko', 'Toyosaki, Aki', 'Tange, Sakura', 'Tomatsu, Haruka', 'Kayano, Ai', 'Imai, Asami', 'Shiraishi, Minoru']
animeStaff	[['Mieno, Hitomi', 'Script'], ['Yanase, Yuuji', 'Storyboard, Animation Director'], ['Kugimiya, Rie', 'Theme Song Performance, Inserted Song Performance'], ['Shintani, Ryouko', 'Theme Song Performance']]
