animeTitle	Kousoku Denjin Albegus
animeType	TV
animeNumEpisode	45
releaseDate	1983-03-30 00:00:00
endDate	1984-02-29 00:00:00
animeNumMembers	
animeScore	6.76
animeUsers	453
animeRank	
animePopularity	10063
animeDescription	"Three talented students of a technical high school, Daisaku, Tetsuya and Hotaru create award-winning robots as part of a school competition. At this time, the evil Derinja race that plans control of all space extends its ambitions to Earth. To combat this threat, Hotaru's father, Professor Mizuki, takes the three robots and modifies them for battle. Albegas, a super robot, is born. 

(Source: Wikipedia)"
animeRelated	[]
animeCharacters	['Enjouji, Daisaku', 'Mizuki, Hotaru', 'Kumai, Gorou', 'Dr. Mizuki', 'Vice-Principal', 'Kibi, Danko', 'Jin, Tetsuya', 'President Azasu', 'Julia', 'President Baios']
animeVoices	['Furukawa, Toshio', 'Tsuru, Hiromi', 'Ootake, Hiroshi', 'Kanie, Eiji', 'Satou, Masaharu', 'Tsukase, Noriko', 'Hori, Hideyuki', 'Mita, Yuuko', 'Shibata, Hidekatsu']
animeStaff	[['Morishita, Kouzou', 'Director, Episode Director, Chief Animation Director'], ['Yamauchi, Shigeyasu', 'Episode Director, Storyboard'], ['Sasaki, Masamitsu', 'Episode Director, Storyboard'], ['Watanabe, Chuumei', 'Theme Song Composition, Music']]
