animeTitle	b'Vampire Knight: Guilty'
animeType	b'TV'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	7.16
animeUsers	200557
animeRank	
animePopularity	
animeDescription	b'When the missing Zero Kiryuu returns to Cross Academy, Yuuki Cross is relieved to see him safe, but finds that Zero has changed in more ways than one. As a result of choices he made, Zero is plagued by visions, and he seeks to uncover the reason behind them\xe2\x80\x94unaware that the answers may be much closer than he thinks.\n\nSoon Yuuki also begins to be tormented by ghastly hallucinations, and she seeks an explanation about her shrouded past from the only one who can provide clarity: Pureblood vampire Kaname Kuran, who is closest to her heart. But what will happen when the truth is finally revealed?\n\n[Written by MAL Rewrite]'
animeRelated	[b'Vampire Knight']
animeCharacters	[b'Kiryuu, Zero', b'Kuran, Kaname', b'Cross, Yuuki', b'Aidou, Hanabusa', b'Shiki, Senri', b'Tooya, Rima', b'Cross, Kaien', b'Ichijou, Takuma', b'Kiryuu, Ichiru', b'Kain, Akatsuki']
animeVoices	[b'\nMiyano, Mamoru\nJapanese\n', b'\nKishio, Daisuke\nJapanese\n', b'\nHorie, Yui\nJapanese\n', b'\nFukuyama, Jun\nJapanese\n', b'\nHoshi, Souichirou\nJapanese\n', b'\nKitamura, Eri\nJapanese\n', b'\nGouda, Hozumi\nJapanese\n', b'\nChiba, Susumu\nJapanese\n', b'\nSuwabe, Junichi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSayama, Kiyoko\n\nDirector, Storyboard\n\n', b'\nKosaka, Harume\n\nStoryboard\n\n', b'\nShirahata, Nobuo\n\nStoryboard\n\n', b'\nTsuji, Hatsuki\n\nStoryboard\n\n']
