animeTitle	Genki!! Ekoda-chan
animeType	TV
animeNumEpisode	22
releaseDate	
endDate	
animeNumMembers	
animeScore	5.75
animeUsers	114
animeRank	
animePopularity	11431
animeDescription	"Based on a four-panel manga, Rinshi!! Ekoda-chan is about a single woman in Tokyo who drifts through relationships and who works at various hostess clubs and the like.

(Source: Zigguratbuilder, edited)"
animeRelated	['Rinshi!! Ekoda-chan']
animeCharacters	['Ekoda-chan']
animeVoices	[]
animeStaff	[['Takinami, Yukari', 'Original Creator']]
