animeTitle	Yami no Purple Eye
animeType	Music
animeNumEpisode	1
releaseDate	1987-01-01 00:00:00
endDate	
animeNumMembers	1625
animeScore	4.65
animeUsers	639
animeRank	11765
animePopularity	9996
animeDescription	"Based on a shoujo manga written and illustrated by Shinohara Chie serialised in Shoujo Comic.

The original story follows the struggles of a teenage girl after she finds herself turning into a lycanthropy-leopard and having to battle her newly found predatory instincts.

In 1987 an animated music video of 30 minutes length was made based on the award winning manga. 

(Source: AniDB)"
animeRelated	['Yami no Purple Eyes']
animeCharacters	['Ozaki, Rinko']
animeVoices	[]
animeStaff	[['Nishikubo, Mizuho', 'Director'], ['Shinohara, Chie', 'Original Creator']]
