animeTitle	Elf no Futagohime: Willan to Arsura
animeType	OVA
animeNumEpisode	1
releaseDate	2009-07-31 00:00:00
endDate	
animeNumMembers	3622
animeScore	6.0
animeUsers	1283
animeRank	
animePopularity	7894
animeDescription	"There is a world where humans and elves live together. Elves rule the world because of their intelligence and longevity. But one day, humans rise in rebellion and a big war breaks out. After a long battle, both countries decide to stop the war by a marriage of convenience. Arsura, a princess of elf country, is chosen as a bride. However, when she is on her way to the human territory, she and Willan, her sister and security guard, are kidnapped by someone! While elves and humans push responsibility to each other, a group of monsters appear! It's them who kidnapped elf sisters. Their boss is Darsh, who is half human and half elf. What is his purpose...? Another war breaks out now! 

(Source: ErogeShop)"
animeRelated	"['Elf no Futagohime: Willan to Arsura - ""Watashi wa Dou Natte mo Ii kara, Onee-sama ni wa Te wo Dasanaide......!""']"
animeCharacters	['Meiriin', 'Arsura', 'Willan', 'Daashu']
animeVoices	['Minase, Saki', 'Sakurai, Harumi']
animeStaff	[['Raika, Ken', 'Director'], ['Nakagawa, Tatsuto', 'Sound Director'], ['Sawayama, Shinichiro', 'Script, Screenplay'], ['Lune', 'Original Creator']]
