animeTitle	b'Xi Xing Ji'
animeType	b'ONA'
animeNumEpisode	16
releaseDate	
endDate	
animeNumMembers	
animeScore	6.76
animeUsers	283
animeRank	
animePopularity	
animeDescription	b'The journey to the West was a conspiracy of heaven! After Sutra went missing for more than a decade, Heaven sent its army to search, in order not to let the Sutra once again fall into the hands of heaven, the journey to West begin again.\n\n(Source: White Cloud Pavilion)'
animeRelated	[b'Xi Xing Ji', b'Xi Xing Ji: Jijie Pian', b'Xi Xing Ji: Zaijian Wukong']
animeCharacters	[b'Ao, Xue', b'Tang, Sanzang']
animeVoices	[]
animeStaff	[]
