animeTitle	b'Wagaya no Oinari-sama.'
animeType	b'TV'
animeNumEpisode	24
releaseDate	
endDate	
animeNumMembers	
animeScore	7.21
animeUsers	10414
animeRank	
animePopularity	
animeDescription	"b""The Mizuchi bloodline has long been hunted by Yokai, or monsters. Toru and Noboru Takagami are descendents of this bloodline, and under their grandmother's discretion, are given a secret weapon to combat these monsters. It is Tenko Kugen, a fox deity who can take the shape of a man or woman at will. The mischievous deity is accompanied by a shrine maiden, Ko, who will both live with the Takagami brothers at their house. Life just got complicated. \n\n(Source: NIS America) """
animeRelated	[b'Wagaya no Oinari-sama.', b'Wagaya no Oinari-sama.: Kuu-chan no Omake Gekijou']
animeCharacters	[b'Tenko, Kuugen', b'Kou', b'Sakura, Misaki', b'Takagami, Tohru', b'Takagami, Noboru', b'Tenko, Gyokuyou', b'Miyabe, Momiji', b'Mubyou', b'Takagami, Miyako', b'Takagami, Haruki']
animeVoices	[b'\nYukana\nJapanese\n', b'\nHayami, Saori\nJapanese\n', b'\nKano, Yui\nJapanese\n', b'\nShimamura, Yuu\nJapanese\n', b'\nMizushima, Takahiro\nJapanese\n', b'\nHatano, Wataru\nJapanese\n', b'\nItou, Shizuka\nJapanese\n', b'\nMizuhashi, Kaori\nJapanese\n', b'\nHorie, Yui\nJapanese\n', b'\nMiyamoto, Mitsuru\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nIwasaki, Yoshiaki\n\nDirector\n\n', b'\nAsami, Matsuo\n\nEpisode Director\n\n', b'\nYamada, Yuka\n\nScript\n\n', b'\nNemoto, Toshizou\n\nScript\n\n']
