animeTitle	Backstage Idol Story
animeType	TV
animeNumEpisode	8
releaseDate	2012-10-11 00:00:00
endDate	2012-11-29 00:00:00
animeNumMembers	655
animeScore	
animeUsers	
animeRank	14911
animePopularity	12265
animeDescription	"BiS (Brand-new idol society) is a real idol group in Japan that gets animated!

The anime is composed of two segments. The first one is dressing room talk such as about what to do with rambunctious fans and how annoying it is to have to deal with worn out underwear and menstruation. The second one is composed of an ad-lib talk round-table talk with an invited guest. "
animeRelated	[]
animeCharacters	['Lui 13-sei, Pour', 'Yufu 9-sei, Terashima', 'Rio 5-sei, Michibayashi', 'Yurika 11-sei, Wakisaka', 'Nozomi III-sei, Hirano']
animeVoices	['Lui, Pour']
animeStaff	[['Ishidate, Koutarou', 'Series Composition']]
