animeTitle	b'Gabriel DropOut Specials'
animeType	b'Special'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	7.64
animeUsers	33706
animeRank	
animePopularity	
animeDescription	b'Specials included with the Blu-ray/DVD release of Gabriel DropOut.'
animeRelated	[b'Gabriel DropOut']
animeCharacters	[b'Kurumizawa McDowell, Satanichia', b'Tenma White, Gabriel', b'Tsukinose April, Vignette', b'Shiraha Ainsworth, Raphiel', b'Shoujo']
animeVoices	[b'\nOozora, Naomi\nJapanese\n', b'\nTomita, Miyu\nJapanese\n', b'\nOonishi, Saori\nJapanese\n', b'\nHanazawa, Kana\nJapanese\n', b'\nHaruna, Fuuka\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nUkami\n\nOriginal Creator\n\n']
