animeTitle	Koukaku Kidoutai Nyuumon Arise
animeType	TV
animeNumEpisode	26
releaseDate	2014-01-07 00:00:00
endDate	2014-07-01 00:00:00
animeNumMembers	7180
animeScore	6.81
animeUsers	1485
animeRank	4600
animePopularity	6082
animeDescription	"Information show featuring two female characters that separated from Logicoma (Logiko and Comako), voiced by Miyuki Sawashiro. A short anime called ""Kabushiki Gaisha: Kyuuka"" featuring Motoko (voiced by Maaya Sakamoto) as the employer of a company aired between episodes 4 to 14."
animeRelated	['Koukaku Kidoutai Arise: Ghost in the Shell - Border:1 Ghost Pain', 'Koukaku Kidoutai Arise: Ghost in the Shell - Border:2 Ghost Whispers', 'Koukaku Kidoutai Arise: Ghost in the Shell - Border:3 Ghost Tears', 'Koukaku Kidoutai Arise: Ghost in the Shell - Border:4 Ghost Stands Alone']
animeCharacters	['Logiko', 'Komako', 'Kusanagi, Motoko', 'Batou', 'Togusa', 'Aramaki, Daisuke', 'Pazu', 'Logicoma', 'Borma', 'Narrator']
animeVoices	['Sawashiro, Miyuki', 'Sakamoto, Maaya']
animeStaff	[['Ashina, Minoru', 'Director, Episode Director, Script']]
