animeTitle	Hikawa Maru Monogatari
animeType	Movie
animeNumEpisode	1
releaseDate	2015-08-22 00:00:00
endDate	
animeNumMembers	591
animeScore	
animeUsers	
animeRank	16064
animePopularity	12523
animeDescription	"Hirayama Jirou has lost his mother in the Great Kanto Earthquake and now runs a soba stall with his father. He decides to join the crew of the famous ocean liner Hikawa Maru and finds work cooking in the ship's galley. Through his eyes, the film explores the ship's 85-year history.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Morimoto, Seiichi']
animeVoices	['Yamaguchi, Kiyohiro']
animeStaff	[['Miura, Kouji', 'Script'], ['Oda, Kazumasa', 'Theme Song Lyrics, Theme Song Performance, Theme Song Composition, Theme Song Arrangement'], ['Konno, Yasuyuki', 'Sound Effects'], ['Takehara, Kenji', 'Director of Photography']]
