animeTitle	Ylion to Callysia
animeType	Movie
animeNumEpisode	1
releaseDate	2017-06-04 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	12274
animeDescription	"Calysia and Ylion are very close siblings. One day, Calysia was kidnapped because their father tried to catch a unicorn. After 10 years Ylion grew up and trained as a warrior. He left to go to the hanging garden where unicorns live with a sword that was made from a unicorn's horn.

(Source: ShortShorts)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
