animeTitle	b'Black Jack the Movie'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.33
animeUsers	5711
animeRank	
animePopularity	
animeDescription	"b""Joe Carol Brane attempts to hire Dr. Black Jack on a breed of superhumans that have the strength, intellectual, athletic, and artistic skills with great excel in different fields, only to later find out that they start deteriorating after some period of time and causing an untimely death. Joe needs Dr. Black Jack's help on finding a cure. \n\n(Source: ANN)\n"""
animeRelated	[b'Black Jack']
animeCharacters	[b'Hazama, Kuroo', b'Brane, Joe Carol', b'Pinoko', b'Doris, Nicholas']
animeVoices	[b'\nOotsuka, Akio\nJapanese\n', b'\nSuzukaze, Mayo\nJapanese\n', b'\nMizutani, Yuuko\nJapanese\n', b'\nWakamoto, Norio\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nDezaki, Osamu\n\nDirector, Script, Storyboard\n\n', b'\nYoshimura, Fumihiro\n\nEpisode Director\n\n', b'\nYamane, Mai\n\nTheme Song Performance\n\n', b'\nTezuka, Osamu\n\nOriginal Creator\n\n']
