animeTitle	Timing
animeType	ONA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.33
animeUsers	177
animeRank	
animePopularity	11656
animeDescription	"The Japanese-Korean horror movie should have been released in 2012, but the project got canceled after Korean investors could not be determined. A six-minute promotional video is what's left of it of this attempted co-production.

Timing holds the story of four characters with abilities related with time, fighting to stop the tragedies occurring in a high school.

(Source: Hancinema)
"
animeRelated	['Timing', 'Timing (Movie)']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
