animeTitle	b'Slow Loop'
animeType	b'TV'
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b'When Hiyori\xe2\x81\xa0\xe2\x80\x94a young girl whose deceased father taught her the joys of fishing\xe2\x81\xa0\xe2\x80\x94headed out to sea for some alone time, she never thought that she would encounter another girl there.\n\nAfter a while, this girl\xe2\x81\xa0\xe2\x80\x94named Koharu\xe2\x81\xa0\xe2\x80\x94and her end up fishing and cooking together, and they get to know each other a bit in the meantime. During their brief time together Koharu finds out that the reason Hiyori went out to sea that day was because she\'s hesitant towards meeting her new step family that same evening. But what a coincidence! Koharu is also meeting her new family tonight! ""No. It can\'t be a coincidence..."" Follow these two \'sisters\' and their new life together! \n\n(Source: Tagame Scans)'"
animeRelated	[b'Slow Loop']
animeCharacters	[b'Minagi, Koharu', b'Minagi, Hiyori']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nAkitaya, Noriaki\n\nDirector\n\n', b'\nYamada, Yuka\n\nSeries Composition\n\n', b'\nUchino, Maiko\n\nOriginal Creator\n\n', b'\nTakimoto, Shouko\n\nCharacter Design, Chief Animation Director\n\n']
