animeTitle	Bocchi the Rock!
animeType	TV
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	2531
animeScore	
animeUsers	
animeRank	
animePopularity	8913
animeDescription	"Hitori Gotou is a high school girl who's starting to learn to play the guitar because she dreams of being in a band, but she's so shy that she hasn't made a single friend. However, her dream might come true after she meets Nijika Ijichi, a girl who plays drums and is looking for a new guitarist for her band.

(Source: MU, edited)"
animeRelated	['Bocchi the Rock!']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
