animeTitle	b'Kamakura'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.48
animeUsers	170
animeRank	
animePopularity	
animeDescription	"b'""A snow-covered house is situated in the middle of a rice field.\nWhat should one do, in a space of white and quietude?\nBy spring, the snowy hut melts and loses its appearance.\nThe Japanese MA, the in-between state of time and space \xe2\x80\x93\nan animation, a haiku""\n\n(Source: Berlinale 2014 programme)'"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
