animeTitle	Hatsukoi Limited.: Gentei Shoujo
animeType	Special
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	6.69
animeUsers	8223
animeRank	
animePopularity	4405
animeDescription	Andou Soako, a high school girl and a 'Mega-klutz' as she thinks herself to be is about to be late for school yet again, for nine straight days! She rushes out from her home and runs out to make up for the lost time when she suddenly realizes that her breasts are wobbling much more than usual and she has a feeling of a gentle breeze under her skirt...
animeRelated	['Hatsukoi Limited.']
animeCharacters	['Andou, Soako', 'Enomoto, Kei', 'Bessho, Koyoi', 'Kusuda, Etsu', 'Dobashi, Rika', 'Arihara, Ayumi', 'Chikura, Nao', 'Sogabe, Hiroyuki', 'Zaitsu, Mamoru']
animeVoices	['Gotou, Saori', 'Itou, Shizuka', 'Toyosaki, Aki', 'Asanuma, Shintaro', 'Kotobuki, Minako', 'Ise, Mariya', 'Fujimura, Ayumi', 'Irino, Miyu']
animeStaff	[['Kawashita, Mizuki', 'Original Creator'], ['Shitaya, Tomoyuki', 'Character Design']]
