animeTitle	b'Nanase Ren'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.11
animeUsers	2125
animeRank	
animePopularity	
animeDescription	"b'This will appear to be a very disturbing animation to most. Designs by Murakami Teruaki, published by Soft by Demand (Anime), and based on the eroge by M no Violet.\n\n(Source: Bakunyuu)\n\nNote:\n\nThere are 2(!) Nanase Ren OVA. Produced by totally different studios, but both feature the same(!) character. The other one is the ""Kranke Nanase Ren"" (\xe5\xa4\x9c\xe5\x8b\xa4\xe7\x97\x85\xe6\xa3\x9f\xe3\x80\x80Kranke\xe3\x80\x80\xe4\xb8\x83\xe7\x80\xac\xe6\x81\x8b) bit, which is a special for Yakin Byouto\n\n(Source: AniDB)'"
animeRelated	[b'Nanase Ren', b'Yakin Byoutou']
animeCharacters	[b'Nanase, Ren']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nMurakami, Teruaki\n\nDirector, Storyboard, Key Animation, Character Design, Animation Director\n\n', b'\nYatabe, Katsuyoshi\n\nSound Director, Production Coordination\n\n', b'\nNozaki, Hiroki\n\nSound Effects\n\n', b'\nM no Violet\n\nOriginal Creator\n\n']
