animeTitle	Kumo no You ni Kaze no You ni
animeType	Special
animeNumEpisode	1
releaseDate	1990-03-21 00:00:00
endDate	
animeNumMembers	
animeScore	6.79
animeUsers	2920
animeRank	
animePopularity	6197
animeDescription	"Ginga, a small town girl sets out to become the Emperors Seihi, highest ranked wife, undaunted by the many other women who seek the same title. Her energetic and eccentric ways aid in her in meeting new people, training to be a Lady of the Emperor and dealing with the drama that ensues. 

(Source: ANN) "
animeRelated	[]
animeCharacters	['Ginga', 'Koryuun', 'Empress Kin', 'Ino', 'Taruto-baba', 'Kikkyou', 'Narrator', 'Mano', 'Konton', 'Kouyou']
animeVoices	['Sano, Ryouko', 'Tani, Ikuko', 'Akimoto, Yousuke', 'Kyouda, Hisako', 'Mitsuya, Yuuji', 'Nakazawa, Midori', 'Kitamura, Kouichi', 'Kobayashi, Akiji', 'Inoue, You']
animeStaff	[['Toriumi, Hisayuki', 'Director'], ['Mizumoto, Kan', 'Sound Director'], ['Sano, Ryouko', 'Theme Song Performance'], ['Tsurumaki, Kazuya', 'Key Animation']]
