animeTitle	Binchou-tan
animeType	TV
animeNumEpisode	12
releaseDate	2006-02-02 00:00:00
endDate	2006-04-15 00:00:00
animeNumMembers	9868
animeScore	6.94
animeUsers	3684
animeRank	4009
animePopularity	5323
animeDescription	This is a story about a little girl who lives in an old house in the mountains. Her name is Bincho-tan. Each episode depicts a day in the life of Bincho-tan as she prepares her breakfast in the morning, goes to the forest to gather vegetables, does her household chores and rests at night after a day's work. She is surrounded by a group of close friends who add color to her ordinary yet simple life. 
animeRelated	['Binchou-tan', 'Jishu Seisaku Movie Binchou-tan']
animeCharacters	['Binchou-tan', 'Ren-tan', 'Aroe', 'Chiku-rin', 'Kunugi-tan', 'Yurio', 'Pukashuu', 'Chiku-tan', 'Narrator', 'Madake']
animeVoices	['Nonaka, Ai', 'Satou, Rina', 'Saitou, Momoko', 'Fukuen, Misato', 'Nogawa, Sakura', 'Fujiki, Seiko', 'Matsuki, Miyu', 'Kadowaki, Mai', 'Inoue, Kikuko', 'Ogata, Kenichi']
animeStaff	[['Furuhashi, Kazuhiro', 'Director, Episode Director, Storyboard'], ['Hiramitsu, Takuya', 'Sound Director'], ['Ishihama, Masashi', 'Episode Director, Animation Director'], ['Ueda, Shigeru', 'Episode Director']]
