animeTitle	Shining☆Romance
animeType	Music
animeNumEpisode	1
releaseDate	2017-11-15 00:00:00
endDate	
animeNumMembers	1521
animeScore	6.58
animeUsers	597
animeRank	5725
animePopularity	10154
animeDescription	"A music video for the theme song of the mobile game ""Utapri Shining Live"", performed by ST☆RISH."
animeRelated	['Uta no☆Prince-sama♪: Maji Love Legend Star', 'Force Live']
animeCharacters	['Ichinose, Tokiya', 'Ittoki, Otoya', 'Kurusu, Shou', 'Jinguuji, Ren', 'Hijirikawa, Masato', 'Shinomiya, Natsuki', 'Aijima, Cecil']
animeVoices	[]
animeStaff	[]
