animeTitle	b'Kutsujoku'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.75
animeUsers	2564
animeRank	
animePopularity	
animeDescription	b'Humiliation is a story about a young man that got his way into a presigeous elite academy. Though he is looked down upon by most, he has the ability to manipulate peoples minds and bodily functions. And he will use his power to get his way at all costs.'
animeRelated	[b'Kutsujoku 2 The Animation']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
