animeTitle	b'Kinnikuman: Seigi Choujin vs. Kodai Choujin'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.12
animeUsers	177
animeRank	
animePopularity	
animeDescription	"b""While Kinnikuman is on vacation with Mari-san's kindergarten class at Easter Island, the young wheelchair-bound Kouichi-kun laments being with an idiot like Kinnikuman, preferring to instead be with his favorite Seigi Choujin Buffaloman. Meanwhile, the other Seigi Choujins are also vacationing at ancient landmarks.\n\n(Source: Wikipedia)"""
animeRelated	[b'Kinnikuman', b'Kinnikuman: Ooabare! Seigi Choujin', b'Kinnikuman: Gyakushuu! Uchuu Kakure Choujin']
animeCharacters	[b'Kinniku, Suguru', b'Robin Mask', b'Ramenman, Victory', b'Warsman', b'Brocken Jr.', b'Terryman', b'Buffaloman', b'Kinkotsuman', b'Iwao', b'Yosaku']
animeVoices	[b'\nKamiya, Akira\nJapanese\n', b'\nGouri, Daisuke\nJapanese\n', b'\nKanie, Eiji\nJapanese\n', b'\nHori, Hideyuki\nJapanese\n', b'\nMizutori, Tetsuo\nJapanese\n', b'\nTanaka, Hideyuki\nJapanese\n', b'\nSatou, Masaharu\nJapanese\n', b'\nFutamata, Issei\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nTamiya, Takeshi\n\nProducer\n\n', b'\nYamayoshi, Yasuo\n\nDirector\n\n', b'\nYudetamago\n\nOriginal Creator\n\n', b'\nMori, Toshio\n\nAnimation Director\n\n']
