animeTitle	Huckleberry no Bouken (Movie)
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14177
animeDescription	Movie version of the TV series Huckleberry no Bouken.
animeRelated	['Huckleberry no Bouken']
animeCharacters	['Sawyer, Tom', 'Finn, Huckleberry']
animeVoices	[]
animeStaff	"[['Mitsunobu, Hiroyoshi', 'Director'], ['Higuchi, Masakazu', 'Director'], [""Koorogi '73"", 'Theme Song Performance'], ['Twain, Mark', 'Original Creator']]"
