animeTitle	b'Madonna'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.2
animeUsers	598
animeRank	
animePopularity	
animeDescription	"b""Mako, a sexy young teacher, comes to Gyunabe high school to enlighten young minds. What she wasn't counting on was a class full of misfits lead by the delinquent Obayashi. If their never ending quest to see her underwear and embarrass her in front of the whole school doesn't force her to quit, then her principal's brilliant idea of making her the new rugby coach will.\n\n(Source: ANN)"""
animeRelated	[b'Madonna']
animeCharacters	[b'Obayashi', b'Domon, Mako', b'Momoko', b'Daigo', b'Arisugawa, Makoto', b'Fuwa, Akira']
animeVoices	[b'\nNanba, Keiichi\nJapanese\n', b'\nTominaga, Miina\nJapanese\n', b'\nEmori, Hiroko\nJapanese\n', b'\nShiozawa, Kaneto\nJapanese\n', b'\nYara, Yuusaku\nJapanese\n', b'\nWakamoto, Norio\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nNagaoka, Akinori\n\nDirector\n\n', b'\nMima, Masafumi\n\nSound Director\n\n', b'\nHonda, Minako\n\nTheme Song Performance\n\n', b'\nKanbe, Mamoru\n\nAssistant Director\n\n']
