animeTitle	Soukou Kihei Votoms: Pailsen Files Movie
animeType	Movie
animeNumEpisode	1
releaseDate	2009-01-17 00:00:00
endDate	
animeNumMembers	
animeScore	6.62
animeUsers	500
animeRank	
animePopularity	10113
animeDescription	"Alternative release of Armored Trooper Votoms: Pailsen Files OVA. Was aired 2 years later. Created by the original staff of the series, with an all new story about the end of the 100 year war.
"
animeRelated	['Soukou Kihei Votoms', 'Soukou Kihei Votoms: Pailsen Files']
animeCharacters	['Cuvie, Chirico', 'Rochina, Jean Paul', 'Kochak, Dare ', 'Droka Zaki, Glenborash', 'Godan, Garry', 'Berkhoff, Noll', 'Pailsen, Yoran', 'Wokkam, Fedok']
animeVoices	['Gouda, Hozumi', 'Ginga, Banjou']
animeStaff	[['Uchida, Kenji', 'Producer'], ['Takeuchi, Kazuyoshi', 'Director, Chief Animation Director'], ['Urakami, Yasuo', 'Sound Director'], ['Tomobuki, Ami', 'Storyboard']]
