animeTitle	Gibiate
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	3.81
animeUsers	13934
animeRank	
animePopularity	2273
animeDescription	"The story takes place in Japan. The year is 2030 and Earth has been completely overrun by a viral disease named ""Gibia"" that turns infected people into various different monsters, based on their age, sex, and race.

A samurai and a ninja from the early Edo period travel together through time and arrive in a ruined Japan to aid a professor working on a cure for the virus.

Together, they fight countless Gibia monsters, outlaws, and other fierce foes on their journey to save mankind."
animeRelated	[]
animeCharacters	['Kanzaki, Sensui', 'Funada, Kathleen', 'Onikura, Yukinojou', 'Sanada, Kenroku', 'Dr. Yoshinaga', 'Sakuma, Hidenori', 'Soshigaya, Guren', 'Hatonami, Ayame', 'Funada, Yurika', 'Mikimoto, Isao']
animeVoices	['Kakihara, Tetsuya', 'Fujii, Yukiyo', 'Hazama, Michio', 'Touchi, Hiroki', 'Ikeda, Shuuichi', 'Ochiai, Fukushi', 'Gouda, Hozumi', 'Nanami, Hiroki', 'Itou, Emi', 'Sakimoto, Hiromi']
animeStaff	[['Aoki, Ryo', 'Producer'], ['Komino, Masahiko', 'Director'], ['Yoshida Brothers', 'Theme Song Performance'], ['Ohguro, Maki', 'Theme Song Performance']]
