animeTitle	Peng You Town
animeType	Special
animeNumEpisode	1
releaseDate	2002-10-07 00:00:00
endDate	
animeNumMembers	332
animeScore	5.73
animeUsers	120
animeRank	9627
animePopularity	14183
animeDescription	"In a small provincial town, three children play football but when they hear breaking glass, two of them flee; leaving a little girl to investigate. She finds that she has broken a fish bowl and a small fish is flapping on the ground gasping for its life. What will the girl do to save this poor creature?
"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
