animeTitle	Mori no Youki na Kobito-tachi: Belfy to Lillibit
animeType	TV
animeNumEpisode	26
releaseDate	1980-01-07 00:00:00
endDate	1980-06-30 00:00:00
animeNumMembers	1288
animeScore	6.37
animeUsers	450
animeRank	6813
animePopularity	10502
animeDescription	This family-friendly series features a community of tiny forest pixies living in a quaint, old fashioned village. Kind-hearted Belfy, adventurous Lillibit, mischievous Napoleon and tiny Chuchuna have adventures with their friends and help out those around them. With the guidance of wise village elder Ronji, competent (but not always sober) Doctor Dokkorin, authoritative Mayor Maymond and Lillibit's hardworking parents Rock and Marla, the children learn lessons about kindness, friendship, courage, hard work, perseverance, following your dreams, standing up for what's right and rising up to face life's unexpected challenges.
animeRelated	[]
animeCharacters	['Belfy', 'Lillibit', 'Moki', 'Ronji', 'Witch Margie', 'Rock', 'Mayor Maymond', 'Marla', 'Dokkorin', 'Shimejiru']
animeVoices	['Ichiryuusai, Harumi', 'Tanaka, Mayumi', 'Saikachi, Ryuuji', 'Mizutori, Tetsuo', 'Kimotsuki, Kaneta']
animeStaff	"[['Nishikubo, Mizuho', 'Director'], ['Koyama, Takao', 'Script'], [""Koorogi '73"", 'Theme Song Performance'], ['Matsuyama, Yuushi', 'Theme Song Arrangement']]"
