animeTitle	Mai-HiME Specials
animeType	Special
animeNumEpisode	27
releaseDate	
endDate	
animeNumMembers	
animeScore	6.91
animeUsers	5320
animeRank	
animePopularity	5065
animeDescription	"Extra shorts that come after each episode. This entry also includes the Mai Hime vs. Mai Otome - ""Moe""? The Greatest Battle! episode."
animeRelated	['Mai-HiME']
animeCharacters	['Kuga, Natsuki', 'Tokiha, Mai', 'Minagi, Mikoto', 'Fujino, Shizuru', 'Yuuki, Nao', 'Okuzaki, Akira', 'Sugiura, Midori', 'Tate, Yuuichi', 'Homura, Nagi', 'Suzushiro, Haruka']
animeVoices	['Chiba, Saeko', 'Nakahara, Mai', 'Yuzuki, Ryouka']
animeStaff	[['Hisayuki, Hirokazu', 'Character Design']]
