animeTitle	Seikaisuru Kado: Ninovo
animeType	ONA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.7
animeUsers	9171
animeRank	
animePopularity	4337
animeDescription	Episode 0 of Seikaisuru Kado premiering on Amazon Prime.
animeRelated	['Seikaisuru Kado']
animeCharacters	['Yaha-kui zaShunina', 'Shindou, Koujirou', 'Hanamori, Shun', 'Asano, Shuuhei', 'Natsume, Ritsu', 'Ooishi, Tetsuo', 'Mifune, Tetsuhito', 'Ubuka, Kiyotaka', 'Sasauchi, Naomi']
animeVoices	['Miura, Hiroaki', 'Saitou, Souma', 'Akabane, Kenji', 'Itou, Shizuka', 'Handa, Yuusuke', 'Gotou, Tetsuo', 'Saitou, Shirou', 'Kikuchi, Masami']
animeStaff	[['Fukunaga, Gen', 'Executive Producer'], ['Walker, Tyler', 'ADR Director']]
