animeTitle	Anitore! EX
animeType	TV
animeNumEpisode	12
releaseDate	2015-10-13 00:00:00
endDate	2015-12-29 00:00:00
animeNumMembers	
animeScore	5.41
animeUsers	10999
animeRank	
animePopularity	3310
animeDescription	"""Move your soul and body!"" Each episode contains a variety of routines, such as push-ups, sit-ups, spine twists, dance, yoga, stretches, trunk training, and taichi. Five girls aiming to become idols will exercise with you, and that troubling body fat percentage will go down by 1000%...!?"
animeRelated	['Anitore! EX: Jigoku no Training', 'Anitore! XX: Hitotsu Yane no Shita de']
animeCharacters	['Tachibana, Akiko', 'Saotome, Shizuno', 'Hoshi, Asami', 'Higuchi, Eri', 'Hiraoka, Yuu', 'Andalucia']
animeVoices	['Naganawa, Maria', 'Komaki, Miyu', 'Itou, Miku', 'Waki, Azumi', 'Takao, Kanon', 'Sogabe, Eri']
animeStaff	[['Nigorikawa, Atsushi', 'Director'], ['Ishibashi, Daisuke', 'Script, Series Composition'], ['Itou, Miku', 'Theme Song Performance'], ['Naganawa, Maria', 'Theme Song Performance']]
