animeTitle	Hyakumannen Attara, Dousuru?
animeType	OVA
animeNumEpisode	1
releaseDate	1999-01-01 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	16505
animeDescription	"Educational video that teaches teenagers about value of money, basic banking principles, use of credit cards and other ways of financial interaction in the society.

*Part of the series of films produced with cooperation of: Japan's Central Council for Financial Services Information and Bank of Japan Public Relations Department."
animeRelated	['UFO Nitsukamatta Kodomo-tachi', 'Okane wa Mawaru: Kurashi to Kinyuu', 'Hoshigari Hime no Bouken']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
