animeTitle	Piroppo
animeType	TV
animeNumEpisode	23
releaseDate	2001-10-11 00:00:00
endDate	2002-03-21 00:00:00
animeNumMembers	574
animeScore	5.52
animeUsers	110
animeRank	10328
animePopularity	12591
animeDescription	"Piroppo is a short series commisioned by Sony for the promotion of their robot dog Aibo. Apparently 54 slots of about 20 seconds each were made, but the dvd release totals 23 named episodes.

Created by ISHII Katsuhito, director of Trava Fist Planet and several of the Grasshoppa live action projects, this is a highly original project despite the limited budget.

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Latte', 'Boxy', 'Champion', 'Queen', 'Pikki']
animeVoices	['Kawase, Tomoko']
animeStaff	[['Ishii, Katsuhito', 'Director'], ['Seyama, Takeshi', 'Editing'], ['Takemiya, Mutsumi', 'Editing']]
