animeTitle	Futari Ecchi (2014)
animeType	OVA
animeNumEpisode	3
releaseDate	2014-10-10 00:00:00
endDate	
animeNumMembers	
animeScore	6.15
animeUsers	3176
animeRank	
animePopularity	5719
animeDescription	Three new OVAs of Futari Ecchi released as standard DVDs and as part of a Premium DVD Box containing all seven OVAs of the series.
animeRelated	['Futari Ecchi']
animeCharacters	['Onoda, Yura', 'Onoda, Makoto', 'Kawada, Rika', 'Yamada, Taku', 'Kikuchi, Miyuki', 'Tsutsumi, Hisao', 'Satomi, Eisaku', 'Ogata, Narumi', 'Watanabe, Rui', 'Kubota, Atsushi']
animeVoices	['Tsunematsu, Ayumi', 'Nakamura, Yuuichi', 'Saitou, Chiwa', 'Shirakawa, Shuusaku', 'Nomizu, Iori', 'Ueda, Youji', 'Sunseki, Kazuhiro', 'Kimura, Akiko', 'Harashima, Akari', 'Mizuno, Takao']
animeStaff	[['Amino, Tetsuro', 'Director, Storyboard'], ['Yamanobe, Kazuki', 'Script'], ['Katsu, Aki', 'Original Creator'], ['Masudate, Toshihide', 'Character Design, Chief Animation Director']]
