animeTitle	Juuippiki no Neko to Ahoudori
animeType	Movie
animeNumEpisode	1
releaseDate	1986-08-27 00:00:00
endDate	
animeNumMembers	473
animeScore	
animeUsers	
animeRank	16463
animePopularity	13077
animeDescription	"Eleven naughty cats on the run from the neighborhood police chief hear that a giant fish is nearby for the taking. They go on a hazardous quest find it, learning that they must work as a team to reach their goal.

(Source: The Anime Encyclopedia)"
animeRelated	['Juuippiki no Neko']
animeCharacters	['Toraneko Taishou', 'Jumbo Albatross', 'Albatross', 'Yamaneko B', 'Cat A', 'Yamaneko D', 'Cat D', 'Cat E', 'Cat J']
animeVoices	['Furuya, Toru', 'Takagi, Hitoshi', 'Kumakura, Kazuo', 'Saikachi, Ryuuji', 'Maruyama, Hiroko', 'Mine, Eken', 'Shimada, Bin', 'Sogabe, Kazuyuki', 'Yamazaki, Tetsuya']
animeStaff	[['Baba, Noboru', 'Original Creator']]
