animeTitle	Tokyo Tribe 2
animeType	TV
animeNumEpisode	13
releaseDate	2006-11-12 00:00:00
endDate	2007-02-18 00:00:00
animeNumMembers	
animeScore	6.7
animeUsers	2264
animeRank	
animePopularity	5250
animeDescription	"This is the other side of Tokyo, a Tokyo of a different color. There, various tribes are living. The SARU from Japan's Musashino, WU-RONZE of Bukuro, and HANDS of Shindyuku... Young men living in the city...the public of modern times builds a home out of corruption, these young men of the sordid side of life, a side called ""reality,"" are depicted here!

(Source: AnimeNfo)"
animeRelated	['Tokyo Tribe 2']
animeCharacters	['Deguchi, Kai', 'Mera', 'Skunk', 'Bubba', 'Nkoi', 'Nori', 'Renkon Chief', 'Tera', 'Iwao', 'Galileo']
animeVoices	['Namikawa, Daisuke', 'Miyake, Kenta', 'Fukkin, Zennosuke', 'Gouri, Daisuke', 'Miki, Shinichiro', 'Toyoguchi, Megumi', 'Tsuji, Shinpachi', 'Ueda, Yuuji', 'Ishii, Kouji', 'Yanada, Kiyoyuki']
animeStaff	[['Satou, Tatsuo', 'Director, Script'], ['Tanaka, Kazuya', 'Sound Director'], ['Sueda, Yoshifumi', 'Episode Director'], ['Masuhara, Mitsuyuki', 'Episode Director, Assistant Director']]
