animeTitle	b'Mahoutsukai Nara Miso wo Kue!'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.23
animeUsers	2849
animeRank	
animePopularity	
animeDescription	"b""A world where the existence of magic has been known for a century as a mysterious power to rival science. However, the discovery of MISO \xe2\x80\x94 the Material of an Impediment to the Sorcerer's Orders \xe2\x80\x94 made magic into not a special power, but a technique that can be raised. One morning, while Sh\xc5\x8dta Hacch\xc5\x8dya (a high school boy attending a magic academy) was tasting miso soup, a princess of Majieeru suddenly breaks in. Majieeru happens to be the birthplace of magic.\n\n(Source: ANN)"""
animeRelated	[b'Mahou Tsukai Nara Miso wo Kue!']
animeCharacters	[b'Bench\xc3\xa9trit, Manuela', b'de Mazi\xc3\xa8re, Celestine Edith', b'de Mazi\xc3\xa8re, Artemisia Genevieve', b'Hacchouya, Shouta', b'Narrator', b'Morooka, Buichi', b'Tanaka, Reira']
animeVoices	[b'\nHirohashi, Ryou\nJapanese\n', b'\nNakahara, Mai\nJapanese\n', b'\nHidaka, Rina\nJapanese\n', b'\nSuzuki, Tatsuhisa\nJapanese\n', b'\nTachiki, Fumihiko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nBessho, Makoto\n\nDirector\n\n', b'\nkz\n\nTheme Song Composition, Theme Song Lyrics, Theme Song Arrangement, Music\n\n', b'\nYun*chi\n\nTheme Song Performance\n\n', b'\nOoshima, Miwa\n\nCharacter Design\n\n']
