animeTitle	Fortissimo Bell
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.19
animeUsers	513
animeRank	
animePopularity	11470
animeDescription	Official music video for the song Fortissimo Bell by the fictional band Irodorimidori. It is the 3rd song in the franchise and focuses on Nazuna Tennozu.
animeRelated	['Brilliant Better', 'Watashi no Naka no Gensou-teki Sekaikan Oyobi Sono Kengen wo Souki Saseta Aru Genjitsu de no Dekigoto ni Kansuru Ichi Kousatsu']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
