animeTitle	Myself ; Yourself Specials
animeType	Special
animeNumEpisode	2
releaseDate	2008-06-27 00:00:00
endDate	
animeNumMembers	7104
animeScore	6.67
animeUsers	2802
animeRank	5218
animePopularity	6109
animeDescription	DVD specials featuring an animated music video to the full version of the opening song and an alternative animation to the ending song.
animeRelated	['Myself; Yourself']
animeCharacters	['Yatsushiro, Nanaka', 'Hidaka, Sana', 'Oribe, Aoi', 'Hoshino, Asami', 'Wakatsuki, Shuri', 'Wakatsuki, Shuusuke', 'Mochida, Hinako', 'Fujimura, Yuzuki']
animeVoices	[]
animeStaff	[['Kuroda, Yasuhiro', 'Director'], ['Itou, Kanako', 'Inserted Song Performance'], ['Kawana, Midori', 'Inserted Song Performance'], ['Nakazawa, Takumi', 'Original Creator']]
