animeTitle	Goal FH: Field Hunter
animeType	TV
animeNumEpisode	39
releaseDate	1994-04-04 00:00:00
endDate	1994-12-26 00:00:00
animeNumMembers	
animeScore	6.82
animeUsers	601
animeRank	
animePopularity	10006
animeDescription	The story is about Hikaru Tatsumura who came from Brazil to fulfill his dream to be a great soccer player because he met a great player once who was admired by all people. However Tatsumura is a very cheerful person  and easy going except when it is about soccer. He becomes serious and strong. He also gives a unique performance such as doing a funny dance with his buddy after he makes a goal. Tatsumura will face a lot of challenges with his team while aiming for success.
animeRelated	[]
animeCharacters	['Hikaru, Tatsumura']
animeVoices	['Sasaki, Nozomu']
animeStaff	[['Okajima, Kunitoshi', 'Director, Episode Director, Storyboard'], ['Higuchi, Masakazu', 'Director'], ['Yamauchi, Shigeyasu', 'Episode Director, Storyboard'], ['Ishiodori, Hiroshi', 'Episode Director']]
