animeTitle	Ijou Chitai: Jikken Dorei
animeType	OVA
animeNumEpisode	2
releaseDate	2011-12-16 00:00:00
endDate	2012-03-23 00:00:00
animeNumMembers	
animeScore	5.8
animeUsers	1202
animeRank	
animePopularity	7943
animeDescription	After her parents died, Konno Azusa inherits her parent's inn. All the residents of the inn left except for one perverted guest, so she has to fulfill his every wish to prevent him from leaving as well.
animeRelated	['Ijou Chitai: Kanojo wa Boku no Jikken Dorei']
animeCharacters	['Konno, Azusa', 'Moriyama, Hiroki']
animeVoices	['Katou, Masami']
animeStaff	[['Tominaga, Tsuneo', 'Director, Storyboard'], ['Pin-Point', 'Original Creator'], ['Chiro', 'Original Character Design']]
