animeTitle	b'Mashou no Kao'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.11
animeUsers	1092
animeRank	
animePopularity	
animeDescription	"b""Keiichi Hayama always dreamed about hot sex with his childhood sweetheart, but one day she transformed in his dream into a mysterious beauty with perfect breasts and a seductive eyes. The next afternoon, Keiichi came back from school to find that very same woman masturbating in his room! \n\nHis mother introduces her as Reika. Since her parents died in a car accident, Reika has been taken in by Keiichi's family. But Keiichi knows there's some dark truth behind this woman, and he has a hunch his prophetic dream wasn't a dream at all. """
animeRelated	[b'Mashou no Kao']
animeCharacters	[b'Hayama, Reika']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nMink\n\nOriginal Creator\n\n', b'\nSano, Hiroaki\n\nMusic\n\n', b'\nKatahira, Shinji\n\nArt Director\n\n', b'\nYoshiki, Masayuki\n\nKey Animation\n\n']
