animeTitle	b'Kyousou Giga (TV) Recaps'
animeType	b'Special'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.55
animeUsers	4734
animeRank	
animePopularity	
animeDescription	b'Recaps of ONA (Episode 0) and 2013 TV Anime Series (Episode 10.5).'
animeRelated	[b'Kyousou Giga', b'Kyousou Giga (2012)', b'Kyousou Giga (TV)']
animeCharacters	[b'Koto', b'Myoue', b'Inari', b'Yase, Douji', b'Shouko', b'Kurama', b'Un', b'A', b'God']
animeVoices	[b'\nKugimiya, Rie\nJapanese\n', b'\nSuzumura, Kenichi\nJapanese\n', b'\nHisakawa, Aya\nJapanese\n', b'\nIshida, Akira\nJapanese\n', b'\nKitamura, Eri\nJapanese\n', b'\nSaitou, Chiwa\nJapanese\n', b'\nNakahara, Shigeru\nJapanese\n', b'\nShiraishi, Ryouko\nJapanese\n', b'\nHidaka, Noriko\nJapanese\n', b'\nGinga, Banjou\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMatsumoto, Rie\n\nDirector, Episode Director, Storyboard\n\n', b'\nTamurapan\n\nTheme Song Lyrics, Theme Song Composition, Theme Song Performance\n\n', b'\nShiina, Gou\n\nMusic\n\n', b'\nTate, Naoki\n\nKey Animation\n\n']
