animeTitle	Ghost (Music)
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	17244
animeDescription	"A new original song and music video to celebrate Suisei's 3rd Anniversary. Ghost was first revealed and sung at the end of Suisei's 4th YouTube live concert, SPACE for Virtual GHOST.

(Source: Anilist)"
animeRelated	['Holo no Graffiti']
animeCharacters	['Hoshimachi, Suisei']
animeVoices	[]
animeStaff	[]
