animeTitle	Duel Masters!!
animeType	TV
animeNumEpisode	51
releaseDate	2019-04-07 00:00:00
endDate	2020-03-29 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	11397
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Duel Masters', 'Duel Masters!', 'Duel Masters King']
animeCharacters	['Kirifuda, Joe', 'Deckie', 'Cap', 'Uraraka, Momo', 'Kira', 'Bolts']
animeVoices	['Kobayashi, Yumiko', 'Satou, Setsuji', 'Ichikawa, Taichi', 'Toyosaki, Aki', 'Toyonaga, Toshiyuki', 'Shiraishi, Minoru']
animeStaff	[['Ishiodori, Hiroshi', 'Director'], ['Sasaki, Shinobu', 'Director'], ['Inoue, Akiko', 'Script'], ['Katou, Youichi', 'Series Composition']]
