animeTitle	D.N.Angel
animeType	TV
animeNumEpisode	26
releaseDate	2003-04-03 00:00:00
endDate	2003-09-25 00:00:00
animeNumMembers	
animeScore	7.18
animeUsers	89435
animeRank	
animePopularity	1010
animeDescription	"Daisuke Niwa is a clumsy, block-headed, and wimpy middle school student who has few redeeming qualities. On his 14th birthday, he finally decides to confess his love to his longtime crush Risa Harada, but is rejected. 

In an unexpected turn of events, however, Daisuke finds himself transforming into Dark Mousy, the infamous phantom thief, whenever his mind is set on Risa. Though Daisuke is unaware of this strange heritage, his mother is certainly not: since before the boy was born, his mother had been planning for him to steal valuable works of art and let the name of the elusive art thief be known.

With doubt and confusion constantly clouding his mind, Daisuke finds himself struggling in his relationships with classmates and family. And it is not long before Daisuke realizes that he is not the only one with a fated family legacy—his greatest adversary could be the one classmate he is most unwilling to fight. 

[Written by MAL Rewrite]"
animeRelated	['D.N.Angel']
animeCharacters	['Mousy, Dark', 'Niwa, Daisuke', 'Hiwatari, Satoshi', 'Harada, Riku', 'Harada, Risa', 'Krad', 'With', 'Hio, Mio', 'Niwa, Daichi', 'no Shirube, Towa']
animeVoices	['Okiayu, Ryoutarou', 'Irino, Miyu', 'Ishida, Akira', 'Nakayama, Sara', 'Asano, Masumi', 'Kusao, Takeshi', 'Kawata, Taeko', 'Tanaka, Rie']
animeStaff	[['Habara, Nobuyoshi', 'Director, Storyboard'], ['Tsuruoka, Youta', 'Sound Director'], ['Ootsuki, Atsushi', 'Episode Director'], ['Nihei, Yuuichi', 'Episode Director, Storyboard']]
