animeTitle	Ikkitousen: Dragon Destiny Specials
animeType	Special
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	6.64
animeUsers	9880
animeRank	
animePopularity	3906
animeDescription	Ikkitousen Dragon Destiny Specials.
animeRelated	['Ikkitousen: Dragon Destiny']
animeCharacters	"[""Kan'u, Unchou"", 'Ryomou, Shimei', 'Sonsaku, Hakufu', 'Ryuubi, Gentoku', 'Chouhi, Ekitoku', ""Chou'un, Shiryuu"", 'Shuuyu, Koukin', 'Kaku, Bunwa', 'Goei', 'Shokatsuryou, Koumei']"
animeVoices	['Nabatame, Hitomi', 'Kaida, Yuuko', 'Asano, Masumi', 'Shindou, Kei', 'Chihara, Minori', 'Asakawa, Yuu', 'Kawaragi, Shiho', 'Inoue, Kikuko', 'Kadowaki, Mai']
animeStaff	[['Kanazawa, Katsuma', 'Director, Episode Director, Storyboard'], ['Shiozaki, Yuji', 'Original Character Design']]
