animeTitle	Madang-eul Naon Amtalg
animeType	Movie
animeNumEpisode	1
releaseDate	2011-07-28 00:00:00
endDate	
animeNumMembers	3526
animeScore	7.52
animeUsers	1349
animeRank	1570
animePopularity	7967
animeDescription	A Korean animation about a hen named Leafie who lives and works on an egg farm who dreams of freedom outside her cage. One day she fakes her own death to escape the farm.
animeRelated	[]
animeCharacters	['Leafie', 'Greenie', 'Mr. Otter', 'Wanderer', 'Rooster', 'One-eyed Weasel']
animeVoices	[]
animeStaff	[]
